province,city,terminal_name
경상남도,함양군,서상버스터미널
경상남도,함양군,수동정류소
경상남도,함양군,안의버스터미널
경상남도,함양군,함양시외버스터미널
경상남도,합천군,대양
경상남도,합천군,삼가정류소
경상남도,합천군,쌍백정류장
경상남도,합천군,적교정류소
경상남도,합천군,합천버스정류장
경상남도,합천군,해인사시외버스터미널
전북특별자치도,고창군,고창문화터미널
전북특별자치도,고창군,해리공용버스터미널
전북특별자치도,고창군,흥덕버스터미널
전북특별자치도,군산시,군산시외버스터미널
전북특별자치도,군산시,대야공용버스터미널
전북특별자치도,김제시,김제종합버스터미널
전북특별자치도,남원시,남원공용버스터미널
전북특별자치도,남원시,달궁
전북특별자치도,남원시,반선시외버스터미널
전북특별자치도,남원시,인월지리산공용터미널
전북특별자치도,무주군,무주공용버스터미널
전북특별자치도,무주군,무주리조트
전북특별자치도,무주군,설천(무주군)
전북특별자치도,무주군,안성시외버스터미널
전북특별자치도,부안군,부안터미널
전북특별자치도,순창군,순창공용버스정류장
전북특별자치도,완주군,둔산공원
전북특별자치도,완주군,봉동(완주군)
전북특별자치도,완주군,삼례공용터미널
전북특별자치도,완주군,삼봉지구
전북특별자치도,완주군,완주혁신도시시외버스승강장
전북특별자치도,완주군,우석대정류소
전북특별자치도,완주군,익산IC정류장
전북특별자치도,완주군,장신대정류소
전북특별자치도,익산시,금마
전북특별자치도,익산시,여산
전북특별자치도,익산시,원광대학교앞정류소
전북특별자치도,익산시,익산시외버스터미널
전북특별자치도,익산시,익산역정류소
전북특별자치도,익산시,익산왕궁정류소
전북특별자치도,임실군,임실공용터미널
전북특별자치도,장수군,장계시외버스공용터미널
전북특별자치도,장수군,장수공용버스터미널
전북특별자치도,전주시 덕진구,덕진동정류장
전북특별자치도,전주시 덕진구,인후동간이정류소
전북특별자치도,전주시 덕진구,전주시외버스공용터미널
전북특별자치도,전주시 덕진구,호남제일문시외버스정류장
전북특별자치도,전주시 완산구,노송동정류소
전북특별자치도,전주시 완산구,완산동간이정류소
전북특별자치도,전주시 완산구,전주대정류소
전북특별자치도,전주시 완산구,전주리무진터미널
전북특별자치도,전주시 완산구,효자서부시외버스간이정류소
전북특별자치도,정읍시,신태인공영터미널
전북특별자치도,정읍시,정읍고속버스터미널
전북특별자치도,정읍시,정읍시외버스터미널
전북특별자치도,진안군,우화
전북특별자치도,진안군,진안시외버스공용정류장
전라남도,강진군,강진버스여객터미널
전라남도,강진군,성전터미널
전라남도,강진군,전남인재개발원정류장
전라남도,고흥군,고흥공용버스정류장
전라남도,고흥군,과역버스터미널
전라남도,고흥군,나로도공용터미널
전라남도,고흥군,남성정류장
전라남도,고흥군,녹동공영버스터미널
전라남도,고흥군,도화(고흥군)
전라남도,고흥군,백양정류장(고흥군)
전라남도,고흥군,소록도
전라남도,고흥군,포두정류장
전라남도,곡성군,곡성버스터미널
전라남도,곡성군,석곡터미널
전라남도,곡성군,옥과터미널
전라남도,광양시,광양터미널
전라남도,광양시,광영
전라남도,광양시,동광양중마버스터미널
전라남도,광양시,섬진강휴게소(순천방향)고속버스환승정류소
전라남도,구례군,구례공영버스터미널
전라남도,구례군,노고단(성삼재)정류소
전라남도,나주시,나주버스터미널
전라남도,나주시,빛가람시외버스정류장
전라남도,나주시,영산포공용터미널
전라남도,담양군,금성(담양군)
전라남도,담양군,담양공용버스터미널
전라남도,목포시,목포종합버스터미널
전라남도,무안군,남악정류소
전라남도,무안군,목포대
전라남도,무안군,무안버스터미널
전라남도,무안군,청계정류소
전라남도,무안군,현경정류소
전라남도,보성군,녹차밭정류소
전라남도,보성군,문덕버스정류장
전라남도,보성군,벌교공용버스터미널
전라남도,보성군,보성버스터미널
전라남도,보성군,보성북문버스정류장
전라남도,보성군,복내정류소
전라남도,보성군,예당정류소
전라남도,보성군,율포정류소
전라남도,보성군,조성정류소
전라남도,순천시,곡천정류소
전라남도,순천시,광천시외버스터미널
전라남도,순천시,순천북부정류소
전라남도,순천시,순천신대지구CGV정류소
전라남도,순천시,순천역시외버스정류장
전라남도,순천시,순천종합버스터미널
전라남도,신안군,우전리욕장
전라남도,신안군,지도여객자동차터미널
전라남도,여수시,덕양시외버스터미널
전라남도,여수시,여수종합버스터미널
전라남도,여수시,여천시외버스정류장
전라남도,영광군,법성버스정류장
전라남도,영광군,영광종합버스터미널
전라남도,영광군,홍농버스터미널
전라남도,영암군,독천터미널
전라남도,영암군,삼호정류소
전라남도,영암군,신북터미널
전라남도,영암군,영암여객자동차터미널
전라남도,완도군,고금시외버스정류장
전라남도,완도군,당목정류소
전라남도,완도군,완도공용버스터미널
전라남도,완도군,원동버스터미널
전라남도,완도군,해양치유센터(완도)
전라남도,장성군,내장사(장성)
전라남도,장성군,사창정류소
전라남도,장성군,상무대정류소
전라남도,장성군,상무아파트정류소
전라남도,장성군,신흥정류소(장성)
전라남도,장성군,장성공영버스터미널
전라남도,장성군,장성사거리버스여객터미널
전라남도,장흥군,관산터미널
전라남도,장흥군,대덕버스정류소
전라남도,장흥군,배산정류소
전라남도,장흥군,용산정류소
전라남도,장흥군,장평정류소
전라남도,장흥군,장흥시외버스터미널
전라남도,장흥군,회진시외버스터미널
전라남도,진도군,녹진
전라남도,진도군,쏠비치진도정류소
전라남도,진도군,진도공용터미널
전라남도,진도군,진도항화물터미널
전라남도,함평군,문장공영터미널
전라남도,함평군,함평공영터미널
전라남도,해남군,남리정류소
전라남도,해남군,남창시외버스터미널
전라남도,해남군,땅끝정류소
전라남도,해남군,산정정류소
전라남도,해남군,우수영정류소
전라남도,해남군,월송자동차여객터미널
전라남도,해남군,해남종합버스터미널
전라남도,화순군,화순전남대병원
